name,img,desc,down,url,author,ibsn,year,page,category
Beginning Backdrop CMS,http://www.allitebooks.com/wp-content/uploads/1465/8357612180eace9.jpg,"Learn what Backdrop CMS is and how it fulfills the role of a content management system, along with how to install and configure it. This book teaches how to create and manage content, taxonomy, users, page layouts, and menus to get the best site possible. You’ll also see how to install on shared hosting – which is a focus of the Backdrop CMS team – to make hosting your website affordable. Backdrop CMS has a very strong community, and Beginning Backdrop CMS?shows you how to leverage Backdrop CMS’s repository of contributed modules and themes to expand the functionality and look of your site, along with how to contribute your own material to the community. Beginning Backdrop CMS?focuses on the user who is responsible for building, maintaining, and managing an organization’s website and who is interested in Backdrop CMS’s ability to meet their site’s requirements. It covers why you should consider using a content management system when building a new web site. By reading this book, you will:",http://file.allitebooks.com/20160615/Beginning Backdrop CMS.pdf,http://www.allitebooks.com/beginning-backdrop-cms/,Todd Tomlinson,1484219694,2016,288,CMS
Introducing Linux Distros,http://www.allitebooks.com/wp-content/uploads/1465/835761217c50eb0.jpg,"The first barrier that a new Linux user has to face is the overwhelming number of “flavors” that this operating system has. These “flavors” are commonly known as distros (from distribution), and to date there are more than three hundred active distros to choose from. So, how to choose one? You can choose the most popular at the moment, or take heed of what your friend says, but are you sure that this is the one that you need? Making the wrong decision on this matter is behind a good number of disappointments with this operating system. You need to choose the distro that is right for you and your needs. Introducing Linux Distros teaches you the pros and the cons of the most frequently used distros in order to find the one that is right for you. You will explore each distro step by step, so that you don’t have to endure hours of web surfing, countless downloads, becoming confused by new concepts and, in the worst cases, reading complex and marathon installation guides. You will benefit from the author’s long-term experience working with each distro hands on, enabling you to choose the best distro for your long-term needs. Linux offers us a wonderful open source alternative to proprietary software, and using Introducing Linux Distros you can decide how to best make it work for you. Start exploring the open source world today.",http://file.allitebooks.com/20160615/Introducing Linux Distros.pdf,http://www.allitebooks.com/introducing-linux-distros/,Jose Dieguez Castro,1484213939,2016,366,Linux & Unix
Kali Linux Wireless Penetration Testing Essentials,http://www.allitebooks.com/wp-content/uploads/1465/8357612177a8015.jpeg,"Kali Linux is the most popular distribution dedicated to penetration testing that includes a set of free, open source tools. This book introduces you to wireless penetration testing and describes how to conduct its various phases. After showing you how to install Kali Linux on your laptop, you will verify the requirements of the wireless adapter and configure it. Next, the book covers the wireless LAN reconnaissance phase, explains the WEP and WPA/WPA2 security protocols and demonstrates practical attacks against them using the tools provided in Kali Linux, Aircrack-ng in particular. You will then discover the advanced and latest attacks targeting access points and wireless clients and learn how to create a professionally written and effective report. What You Will Learn",http://file.allitebooks.com/20160615/Kali Linux Wireless Penetration Testing Essentials.pdf,http://www.allitebooks.com/kali-linux-wireless-penetration-testing-essentials/,Marco Alamanni,1785280856,2015,164,Linux & Unix
"Responsive Web Design with HTML5 and CSS3, Second Edition",http://www.allitebooks.com/wp-content/uploads/1465/8357612172cc29a.jpeg,"Desktop-only websites just aren’t good enough anymore. With mobile internet usage still rising, and tablets changing internet consumption habits, you need to know how to build websites that will just ‘work’, regardless of the devices used to access them. This second edition of Responsive Web Design with HTML5 and CSS3 explains all the key approaches necessary to create and maintain a modern responsive design. The changing way in which we access the web means that there has never been a greater range of screen sizes and associated user experiences to consider. With these recent trends driving changes in design, typical desktop-only websites fail to meet even minimum expectations when it comes to style and usability, which can be vital when your website is central to yours or your client’s brand. Responsive Web Design with HTML5 and CSS3, Second Edition is an updated and improved guide that responds to the latest challenges and trends in web design, giving you access to the most effective approaches to modern responsive design. Learn how to build websites with a “responsive and mobile first” methodology, allowing a website to display effortlessly on every device that accesses it. Packed with examples, and a thorough explanation of modern techniques and syntax, Responsive Web Design with HTML5 and CSS3, Second Edition provides a comprehensive resource for all things ‘responsive’. This updated new edition covers all the most up-to-date techniques and tools needed to build great responsive designs, ensuring that your projects won’t just be built ‘right’ for today, but in the future too. Chapter example code is all hosted on rwd.education, a dedicated site for the book, built by the author, using the approaches and techniques championed throughout. What You Will Learn","http://file.allitebooks.com/20160615/Responsive Web Design with HTML5 and CSS3, Second Edition.rar",http://www.allitebooks.com/responsive-web-design-with-html5-and-css3-second-edition/,Ben Frain,1784398934,2015,312,"HTML, HTML5 & CSS"
Creating Google Chrome Extensions,http://www.allitebooks.com/wp-content/uploads/1465/835761216989693.jpg,"Transform your existing web applications into Google Chrome browser extensions and create brand new extensions that improve your own browsing experience and that of your users. This book shows you how Google Chrome browser extensions are extremely useful tools for enhancing the functionality of the Google Chrome web browser. For example, you can create extensions to summarize the current page you are reading, or to save all of the images in the page you are browsing. They have access to almost all of the features provided by the Google Chrome browser, and they can encapsulate such features in the form of a bundled application providing targeted functionality to users. Extensions also run in a sandboxed environment, making them secure – which is a huge plus in the modern web! The APIs provided by the Chrome Extensions framework help you empower web applications by coupling them with amazing features provided by the Google Chrome web browser, such as bookmarks, history, tabs, actions, storage, notifications, search, and a lot more – facilitating increased productivity on the Google Chrome web browser.",http://file.allitebooks.com/20160615/Creating Google Chrome Extensions.pdf,http://www.allitebooks.com/creating-google-chrome-extensions/,Prateek Mehta,1484217748,2016,188,Programming
"Spring Persistence with Hibernate, 2nd edition",http://www.allitebooks.com/wp-content/uploads/1465/8357612164e9b65.jpg,"Learn how to use the core Hibernate APIs and tools as part of the Spring Framework. This book illustrates how these two frameworks can be best utilized. Other persistence solutions available in Spring are also shown including the Java Persistence API (JPA). Spring Persistence with Hibernate, Second Edition has been updated to cover Spring Framework version 4 and Hibernate version 5. After reading and using this book, you’ll have the fundamentals to apply these persistence solutions into your own mission-critical enterprise Java applications that you build using Spring. Persistence is an important set of techniques and technologies for accessing and using data, and ensuring that data is mobile regardless of specific applications and contexts. In Java development, persistence is a key factor in enterprise, e-commerce, and other transaction-oriented applications. Today, the agile and open source Spring Framework is the leading out-of-the-box, open source solution for enterprise Java developers; in it, you can find a number of Java persistence solutions. What You’ll Learn","http://file.allitebooks.com/20160615/Spring Persistence with Hibernate, 2nd edition.pdf",http://www.allitebooks.com/spring-persistence-with-hibernate-2nd-edition/,"Brian D. Murphy , Paul Fisher",1484202694,202694,184,Java
Inkscape Starter,http://www.allitebooks.com/wp-content/uploads/1465/38576072b071eb6.jpg,"Inkscape is a free Open Source program that allows you to create vibrant vector graphics in all manner of shapes and sizes. From creating designs for the web or for print, to creating your own personal logo or interfaces, Inkscape gives you the power to shape what people will see when it comes to your personal projects. If you are new to Inkscape this book is the perfect companion for getting you off to a flying start. No previous experience with Inkscape is required as you will be guided through downloading Inkscape and installing it on your system. The amount of things that you can do with Inkscape is overwhelming so this quick start guide will show you how to create your very first vector graphic. The resources in this book will help you to become familiar with the Inkscape community, which is a valuable part of any Open Source project. Finally, you will see how to use seven key features of Inkscape –using paths and layers, combining shapes, creating and editing text tools, importing and embedding images, and a list of keyboard shortcuts for text styling – which will give you the knowledge to perform simple tasks and set off on your own. What you will learn from this book",http://file.allitebooks.com/20160614/Inkscape Starter.pdf,http://www.allitebooks.com/inkscape-starter/,Bethany Hiitola,1849517568,2012,40,Programming
Learning Network Forensics,http://www.allitebooks.com/wp-content/uploads/1465/38576072abd0a41.jpg,"We live in a highly networked world. Every digital device―phone, tablet, or computer is connected to each other, in one way or another. In this new age of connected networks, there is network crime. Network forensics is the brave new frontier of digital investigation and information security professionals to extend their abilities to catch miscreants on the network. The book starts with an introduction to the world of network forensics and investigations. You will begin by getting an understanding of how to gather both physical and virtual evidence, intercepting and analyzing network data, wireless data packets, investigating intrusions, and so on. You will further explore the technology, tools, and investigating methods using malware forensics, network tunneling, and behaviors. By the end of the book, you will gain a complete understanding of how to successfully close a case. What you will learn",http://file.allitebooks.com/20160614/Learning Network Forensics.pdf,http://www.allitebooks.com/learning-network-forensics/,Samir Datt,1782174907,2016,274,Security
Professional Application Lifecycle Management with Visual Studio 2013,http://www.allitebooks.com/wp-content/uploads/1465/50575f1c52d19e1.jpeg,"Microsoft’s Application Lifecycle Management (ALM) makes software development easier and now features support for iOS, MacOS, Android, and Java development. If you are an application developer, some of the important factors you undoubtedly consider in selecting development frameworks and tools include agility, seamless collaboration capabilities, flexibility, and ease of use. Microsoft’s ALM suite of productivity tools includes new functionality and extensibility that are sure to grab your attention. Professional Application Lifecycle Management with Visual Studio 2013 provides in-depth coverage of these new capabilities. Authors Mickey Gousset, Martin Hinshelwood, Brian A. Randell, Brian Keller, and Martin Woodward are Visual Studio and ALM experts, and their hands-on approach makes adopting new ALM functionality easy. Professional Application Lifecycle Management with Visual Studio 2013 provides a complete framework for using ALM to streamline software design and deployment processes using well-developed Microsoft tools and methodologies. Professional Application Lifecycle Management with Visual Studio 2013 is your guide to make use of newly-available ALM features to take your enterprise software development to the next level.",http://file.allitebooks.com/20160613/Professional Application Lifecycle Management with Visual Studio 2013.pdf,http://www.allitebooks.com/professional-application-lifecycle-management-with-visual-studio-2013/,"Brian A. Randell , Brian Keller , Martin Hinshelwood , Martin Woodward , Mickey Gousset",1118836588,2014,696,Programming
Learning Penetration Testing with Python,http://www.allitebooks.com/wp-content/uploads/1465/50575f1c4e38c5b.jpeg,"Python is a powerful new-age scripting platform that allows you to build exploits, evaluate services, automate, and link solutions with ease. Python is a multi-paradigm programming language well suited to both object-oriented application development as well as functional design patterns. Because of the power and flexibility offered by it, Python has become one of the most popular languages used for penetration testing. This book highlights how you can evaluate an organization methodically and realistically. Specific tradecraft and techniques are covered that show you exactly when and where industry tools can and should be used and when Python fits a need that proprietary and open source solutions do not. Initial methodology, and Python fundamentals are established and then built on. Specific examples are created with vulnerable system images, which are available to the community to test scripts, techniques, and exploits. This book walks you through real-world penetration testing challenges and how Python can help. From start to finish, the book takes you through how to create Python scripts that meet relative needs that can be adapted to particular situations. As chapters progress, the script examples explain new concepts to enhance your foundational knowledge, culminating with you being able to build multi-threaded security tools, link security tools together, automate reports, create custom exploits, and expand Metasploit modules. What You Will Learn",http://file.allitebooks.com/20160613/Learning Penetration Testing with Python.pdf,http://www.allitebooks.com/learning-penetration-testing-with-python/,Christopher Duffy,1785282328,2015,314,Programming
Spring Persistence with Hibernate,http://www.allitebooks.com/wp-content/uploads/2016/06/Spring-Persistence-with-Hibernate-400x494.jpg,"Spring Persistence with Hibernate is an easy-to-follow, step-by-step, and example0rich guide to using Spring and Hibernate to build robust and effective Java applications. Furthermore, the book can be used as reference in areas where developers need help. All the topics explained in the book are demonstrated with practical examples and uncomplicated figures. The book is primarily for Spring developers and users who want to persist using the popular Hibernate persistence framework. Java, Hibernate, JPA, Spring, and open source developers in general will also find the book useful.",http://file.allitebooks.com/20160613/Spring Persistence with Hibernate.pdf,http://www.allitebooks.com/spring-persistence-with-hibernate-2/,Ahmad Seddighi,1849510563,2009,460,Web Development
